Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2640000,1.3204656,49.512768,175.64285714285714,504.359649122807,504.359649122807,1.0
2650000,1.320011,50.25835,175.68965517241378,493.3421052631579,493.3421052631579,1.0
2660000,1.319972,48.512165,176.60714285714286,493.3421052631579,493.3421052631579,1.0
2670000,1.3198607,48.320023,175.67857142857142,484.88392857142856,484.88392857142856,1.0
2680000,1.3198199,47.573784,175.66071428571428,476.4642857142857,476.4642857142857,1.0
2690000,1.3196551,49.64731,175.66071428571428,484.2767857142857,484.2767857142857,1.0
2700000,1.3195953,48.21828,175.67857142857142,486.7857142857143,486.7857142857143,1.0
2710000,1.3190689,50.681133,178.92727272727274,492.45454545454544,492.45454545454544,1.0
2720000,1.3190658,47.73883,178.82142857142858,466.6545454545454,466.6545454545454,1.0
2730000,1.3190325,47.70652,192.72549019607843,480.40384615384613,480.40384615384613,1.0
2740000,1.3190091,46.994576,181.43333333333334,464.39814814814815,464.39814814814815,1.0
2750000,1.3181809,49.953796,175.66037735849056,526.2543859649123,526.2543859649123,1.0
2760000,1.3181808,49.11766,175.7017543859649,476.5603448275862,476.5603448275862,1.0
2770000,1.317586,48.16956,175.65454545454546,480.82142857142856,480.82142857142856,1.0
2780000,1.3175666,49.072865,178.70689655172413,481.12280701754383,481.12280701754383,1.0
2790000,1.3170472,50.897717,176.3859649122807,495.8070175438597,495.8070175438597,1.0
2800000,1.3169787,51.99632,182.07407407407408,526.4272727272727,526.4272727272727,1.0
2810000,1.3163704,52.542194,175.66071428571428,494.5625,494.5625,1.0
2820000,1.3162881,53.190765,182.09259259259258,517.6851851851852,517.6851851851852,1.0
2830000,1.3158493,52.158516,182.14814814814815,500.0925925925926,500.0925925925926,1.0
2840000,1.3157502,52.53312,175.66071428571428,478.32142857142856,478.32142857142856,1.0
2850000,1.3153232,52.48665,178.83636363636364,507.212962962963,507.212962962963,1.0
2860000,1.3151658,53.70472,185.21818181818182,528.2946428571429,528.2946428571429,1.0
2870000,1.3150606,53.580578,175.67857142857142,495.67857142857144,495.67857142857144,1.0
2880000,1.3150127,52.756207,175.68965517241378,484.7543859649123,484.7543859649123,1.0
2890000,1.3146847,52.133007,175.6315789473684,479.6896551724138,479.6896551724138,1.0
2900000,1.3144625,56.484585,178.76363636363635,530.2454545454545,530.2454545454545,1.0
2910000,1.314117,58.073895,182.0909090909091,536.6944444444445,536.6944444444445,1.0
2920000,1.3138592,55.766125,175.68965517241378,508.41379310344826,508.41379310344826,1.0
2930000,1.3138068,52.745697,182.07407407407408,500.44545454545454,500.44545454545454,1.0
2940000,1.3137621,55.38695,175.64285714285714,500.08035714285717,500.08035714285717,1.0
2950000,1.3136619,54.28431,182.34615384615384,523.5288461538462,523.5288461538462,1.0
2960000,1.3135546,55.994568,188.61111111111111,543.2129629629629,543.2129629629629,1.0
2970000,1.3133748,54.329388,178.8181818181818,505.6636363636364,505.6636363636364,1.0
2980000,1.3130997,56.458992,175.68421052631578,495.50892857142856,495.50892857142856,1.0
2990000,1.312989,54.21737,181.92727272727274,543.8392857142857,543.8392857142857,1.0
