Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
660000,1.3971835,107.40217391304348,21.863663,313.98478219925386,313.98478219925386,1.0
670000,1.3963069,100.1340206185567,22.999907,285.76633032487365,285.76633032487365,1.0
680000,1.3961542,100.01980198019803,23.453123,288.0709993696213,288.0709993696213,1.0
690000,1.3956797,100.21212121212122,23.446941,292.41414218960387,292.41414218960387,1.0
700000,1.3955216,102.11340206185567,23.911621,311.2835073090091,311.2835073090091,1.0
710000,1.3947214,96.44117647058823,25.536604,292.46568906073475,292.46568906073475,1.0
720000,1.3944747,97.93203883495146,24.648386,284.4168323195807,284.4168323195807,1.0
730000,1.3928808,96.94,27.017117,286.4745118384268,286.4745118384268,1.0
740000,1.3928032,96.81188118811882,24.856045,287.25940428157844,287.25940428157844,1.0
750000,1.3918864,101.76767676767676,26.044632,312.5515165136318,312.5515165136318,1.0
760000,1.3918207,101.05154639175258,26.221361,304.17755027084934,304.17755027084934,1.0
770000,1.3904498,102.51546391752578,26.464764,313.30312443276244,313.30312443276244,1.0
780000,1.3904499,100.5204081632653,26.92005,303.2747478668738,303.2747478668738,1.0
790000,1.3884825,102.61458333333333,26.206305,322.4145834495624,322.4145834495624,1.0
800000,1.3884375,100.98969072164948,27.370497,312.6072938601331,312.6072938601331,1.0
810000,1.3881354,105.5625,26.94105,334.12604195872945,334.12604195872945,1.0
820000,1.3881091,105.70652173913044,27.398037,347.18172184113536,347.18172184113536,1.0
830000,1.3866664,108.60215053763442,28.533503,339.89022032592607,339.89022032592607,1.0
840000,1.3864459,107.69565217391305,28.075092,348.12608770443046,348.12608770443046,1.0
850000,1.3845538,107.90217391304348,29.067448,337.77934984020567,337.77934984020567,1.0
860000,1.384112,104.07368421052631,29.872559,341.72105646635356,341.72105646635356,1.0
870000,1.3829514,107.61111111111111,29.0678,345.3395610746447,345.3395610746447,1.0
880000,1.38263,106.72631578947369,30.448599,336.1446833686626,336.1446833686626,1.0
890000,1.3830189,102.1340206185567,30.644516,321.2237124934639,321.2237124934639,1.0
900000,1.3831736,101.89690721649484,29.934729,329.440207587075,329.440207587075,1.0
910000,1.3820475,105.0752688172043,29.808638,347.3414932860339,347.3414932860339,1.0
